epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,420.93,1.13464,3.16598,1.67031,0.32837,0.56181,0.38012,0.23737,1.19202,3.0355,1.84702,0.000275353,0.000275353,0.000275353
2,829.812,1.06852,2.3438,1.54784,0.50316,0.54668,0.55116,0.35092,1.28137,2.75041,1.86388,0.000498271,0.000498271,0.000498271
3,1231.11,1.05854,2.01734,1.54347,0.65746,0.56413,0.65716,0.42057,1.17363,2.18686,1.81657,0.00066621,0.00066621,0.00066621
4,1634.78,1.02827,1.75852,1.51707,0.67473,0.71983,0.70434,0.46952,1.23954,1.82253,1.82385,0.000585599,0.000585599,0.000585599
5,2041.25,0.97905,1.51424,1.47855,0.79129,0.73849,0.81589,0.54373,1.15585,1.45916,1.71943,0.000503132,0.000503132,0.000503132
6,2445.39,0.91941,1.31483,1.4259,0.79398,0.77231,0.79896,0.55636,1.04433,1.42206,1.62725,0.000420665,0.000420665,0.000420665
7,2850.64,0.88961,1.20977,1.39242,0.77815,0.77552,0.81762,0.56631,1.05771,1.23942,1.64094,0.000338198,0.000338198,0.000338198
8,3249.48,0.84799,1.04376,1.35466,0.81753,0.79753,0.86016,0.61425,0.99241,1.10812,1.60758,0.000255731,0.000255731,0.000255731
9,3657.74,0.79385,0.96004,1.32322,0.86287,0.81274,0.8759,0.62315,0.98605,1.0249,1.58863,0.000173264,0.000173264,0.000173264
10,4062.87,0.76454,0.87453,1.29661,0.81773,0.84561,0.86148,0.63292,0.96805,0.97857,1.54696,9.0797e-05,9.0797e-05,9.0797e-05
