epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5933,0.96148,2.63299,1.45113,0.51905,0.58954,0.54812,0.34487,0.85104,22.9098,1.18445,0.00332875,0.00332875,0.00332875
2,114.052,0.87907,1.6504,1.35884,0.62208,0.64387,0.64629,0.37364,0.98884,15.7849,1.31178,0.00660212,0.00660212,0.00660212
3,166.465,0.91053,1.44301,1.36149,0.67385,0.65664,0.65971,0.3993,0.80461,18.6315,1.14624,0.0098155,0.0098155,0.0098155
4,218.459,0.92672,1.29732,1.36788,0.55893,0.70654,0.66134,0.43144,0.74438,18.5286,1.14888,0.00973,0.00973,0.00973
5,269.993,0.88498,1.13702,1.33817,0.69756,0.72016,0.73419,0.50606,0.707,15.165,1.06449,0.00964,0.00964,0.00964
6,321.551,0.84531,1.01543,1.30609,0.81565,0.72434,0.78757,0.51208,0.80927,11.5396,1.15974,0.00955,0.00955,0.00955
7,373.985,0.81507,0.93061,1.28341,0.77034,0.68735,0.7542,0.51863,0.73217,14.8137,1.06362,0.00946,0.00946,0.00946
8,429.318,0.80332,0.89032,1.27425,0.77332,0.77219,0.79046,0.55822,0.67319,12.1223,1.01244,0.00937,0.00937,0.00937
9,481.561,0.78,0.83938,1.25817,0.79376,0.792,0.81835,0.56821,0.70098,5.53715,1.01538,0.00928,0.00928,0.00928
10,533.706,0.7687,0.81701,1.24913,0.82286,0.79057,0.82371,0.59578,0.65768,4.77979,0.99246,0.00919,0.00919,0.00919
11,585.627,0.74763,0.77404,1.23557,0.83428,0.80258,0.82805,0.59619,0.64825,11.5229,0.96902,0.0091,0.0091,0.0091
12,639.193,0.73662,0.75768,1.22652,0.80907,0.81525,0.84686,0.61607,0.6259,4.01156,1.01402,0.00901,0.00901,0.00901
13,694.857,0.72747,0.72756,1.22086,0.77341,0.77421,0.79503,0.57056,0.68581,6.28256,1.02197,0.00892,0.00892,0.00892
14,753.324,0.7112,0.70444,1.21194,0.85535,0.75773,0.83149,0.60797,0.62251,4.62252,0.96022,0.00883,0.00883,0.00883
15,809.589,0.70526,0.69266,1.20289,0.84391,0.83974,0.84281,0.6102,0.62178,4.01065,0.95927,0.00874,0.00874,0.00874
16,867.539,0.69749,0.68746,1.2032,0.90062,0.78961,0.87648,0.64092,0.62125,2.50006,0.97982,0.00865,0.00865,0.00865
17,925.677,0.69206,0.65966,1.19317,0.83275,0.77603,0.83272,0.58509,0.649,3.8865,0.99399,0.00856,0.00856,0.00856
18,983.67,0.68201,0.64641,1.18543,0.82075,0.83913,0.85647,0.63034,0.63024,6.59305,0.98199,0.00847,0.00847,0.00847
19,1043.13,0.67176,0.63999,1.18143,0.90269,0.75206,0.85026,0.62452,0.62918,3.41734,0.9659,0.00838,0.00838,0.00838
20,1099.89,0.66774,0.62886,1.17657,0.87478,0.8486,0.87941,0.65552,0.57376,2.12834,0.92934,0.00829,0.00829,0.00829
21,1155.63,0.66028,0.62173,1.17269,0.82381,0.84838,0.85486,0.63207,0.56467,4.27076,0.92412,0.0082,0.0082,0.0082
22,1209.81,0.65623,0.6114,1.1631,0.8477,0.84816,0.87516,0.65207,0.58417,4.27063,0.94043,0.00811,0.00811,0.00811
23,1262.87,0.65076,0.5983,1.16344,0.84996,0.828,0.86959,0.63613,0.57803,7.33447,0.93549,0.00802,0.00802,0.00802
24,1315.13,0.64336,0.59189,1.15791,0.82136,0.80623,0.85564,0.62982,0.58062,2.39154,0.93503,0.00793,0.00793,0.00793
25,1369.16,0.63749,0.58472,1.15357,0.90785,0.83073,0.89152,0.6683,0.58311,1.22837,0.9501,0.00784,0.00784,0.00784
26,1426.17,0.63522,0.57768,1.14882,0.85563,0.82389,0.87308,0.64661,0.56493,2.38203,0.92273,0.00775,0.00775,0.00775
27,1485.19,0.63252,0.57703,1.14812,0.88608,0.84268,0.88841,0.65011,0.61632,3.26856,0.98082,0.00766,0.00766,0.00766
28,1542.33,0.62017,0.55756,1.14143,0.8937,0.87735,0.89443,0.66058,0.56045,1.7649,0.93437,0.00757,0.00757,0.00757
29,1599.02,0.61636,0.55898,1.13572,0.88503,0.86331,0.90023,0.6649,0.57229,3.79989,0.94148,0.00748,0.00748,0.00748
30,1653.92,0.61382,0.54463,1.13027,0.90073,0.83899,0.87775,0.66634,0.55958,2.96593,0.92038,0.00739,0.00739,0.00739
31,1705.89,0.60762,0.54564,1.13466,0.90333,0.82973,0.88086,0.66434,0.55945,2.91938,0.9195,0.0073,0.0073,0.0073
32,1758.09,0.60595,0.54015,1.12879,0.86131,0.86731,0.88894,0.65985,0.56419,2.91711,0.93383,0.00721,0.00721,0.00721
33,1814.86,0.6036,0.53464,1.12727,0.87018,0.85392,0.87568,0.65579,0.5683,4.09986,0.93437,0.00712,0.00712,0.00712
34,1871.63,0.59173,0.52629,1.12023,0.89603,0.83585,0.88945,0.66632,0.55883,2.71409,0.9192,0.00703,0.00703,0.00703
35,1928.85,0.5917,0.51891,1.12161,0.85986,0.81788,0.86552,0.64973,0.56021,2.30974,0.91714,0.00694,0.00694,0.00694
36,1986.32,0.59075,0.52032,1.11839,0.88963,0.82841,0.8846,0.66206,0.55838,2.70078,0.91723,0.00685,0.00685,0.00685
37,2043.3,0.5837,0.51348,1.11426,0.84717,0.87471,0.87953,0.66981,0.5594,2.54399,0.91865,0.00676,0.00676,0.00676
38,2100.51,0.58333,0.50979,1.11121,0.86728,0.81651,0.88237,0.66776,0.54276,3.43238,0.90734,0.00667,0.00667,0.00667
39,2157.05,0.57807,0.50617,1.11287,0.87056,0.83664,0.90265,0.67495,0.55856,3.38267,0.90475,0.00658,0.00658,0.00658
40,2213.69,0.57818,0.50849,1.10912,0.88591,0.86055,0.88992,0.66876,0.54247,2.59166,0.9029,0.00649,0.00649,0.00649
41,2271.05,0.57386,0.5,1.10623,0.91346,0.83515,0.89184,0.67098,0.55389,3.01228,0.90963,0.0064,0.0064,0.0064
42,2328.19,0.56966,0.49147,1.10365,0.89476,0.83688,0.88701,0.67539,0.54115,2.19996,0.90579,0.00631,0.00631,0.00631
